Hour00,NdayA,NhourA
0,1,0
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,1,19
20,1,20
21,1,21
22,1,22
23,1,23
24,2,0
25,2,1
26,2,2
27,2,3
28,2,4
29,2,5
30,2,6
31,2,7
32,2,8
33,2,9
34,2,10
35,2,11
36,2,12
37,2,13
38,2,14
39,2,15
40,2,16
41,2,17
42,2,18
43,2,19
44,2,20
45,2,21
46,2,22
47,2,23
48,3,0
49,3,1
50,3,2
51,3,3
52,3,4
53,3,5
54,3,6
55,3,7
56,3,8
57,3,9
58,3,10
59,3,11
60,3,12
61,3,13
8727,364,15
8728,364,16
8729,364,17
8730,364,18
8731,364,19
8732,364,20
8733,364,21
8734,364,22
8735,364,23
8736,365,0
8737,365,1
8738,365,2
8739,365,3
8740,365,4
8741,365,5
8742,365,6
8743,365,7
8744,365,8
8745,365,9
8746,365,10
8747,365,11
8748,365,12
8749,365,13
8750,365,14
8751,365,15
8752,365,16
8753,365,17
8754,365,18
8755,365,19
8756,365,20
8757,365,21
8758,365,22
8759,365,23
8760,365,24