deltad_case, N, deltadA
1, 1, -23.0208689692282
2, 2, -22.9407356880164
3, 15, -21.2374651785563
4, 32, -17.3491260822618
5, 60, -8.05104586891684
6, 79, -0.730321766712031
7, 80, -0.338971240478587
8, 81, 0.0523055003264787
9, 82, 0.443413860983886
10, 91, 3.94033111690212
11, 121, 14.5692488259836
12, 152, 21.8437517576015
13, 172, 23.4480967604543
14, 173, 23.4563568713215
15, 174, 23.4576718874714
16, 175, 23.4520455700994
17, 176, 23.4394845204875
18, 182, 23.2192121825717
19, 213, 18.3954553178055
20, 244, 8.85099915604992
21, 266, 0.561568702902969
22, 267, 0.172641757846131
23, 268, -0.216627950419884
24, 274, -2.55420175699229
25, 305, -13.9427503249625
26, 335, -21.5603097887349
27, 354, -23.3681444105143
28, 355, -23.387668238817
29, 356, -23.399463361126
30, 357, -23.4035265213998
31, 358, -23.3998582415097
32, 359, -23.388462814737
33, 364, -23.2159909692715
34, 365, -23.1585320593015