fA_case, xa, xb, ya, yb, za, fAA
1, 1, 2, 1, 2, 0, 0.392699081698724
2, 0.000000001, 1.000000001, 0.000000001, 1.000000001, 0, 0.392699081698724
3, 0.000000001, 2.000000001, 0.000000001, 1.000000001, 0, 1.01754075419607
4, 0, 1, 0, 2, 0, 0.553255572397964
5, 0, 2, 0, 1, 0, 1.01754075439693
6, 1, 2, 1, 2, 0.1, 0.391076647752509
7, 1, 2, 1, 2, 0.2, 0.386303417714897
8, 1, 2, 1, 2, 0.5, 0.356352554088943
9, 1, 2, 1, 2, 1, 0.281697381129222
10, 1, 2, 1, 2, 2, 0.157580090116144
11, 0.000000001, 1.000000001, 0.000000001, 2, 0.1, 0.484524567192072
12, 0.000000001, 2.000000001, 0.000000001, 1.000000001, 0.1, 0.875211158128054
13, 0.000000001, 1.000000001, 0.000000001, 2, 0.5, 0.306168460921042
14, 0.000000001, 2.000000001, 0.000000001, 1.000000001, 0.5, 0.493349072294605
15, 0.000000001, 1.000000001, 0.000000001, 2, 1, 0.187491559594504
16, 0.000000001, 2.000000001, 0.000000001, 1.000000001, 1, 0.261560445816157
17, 1, 2, 1, 2, 0.5, 0.356352554088943
18, 1, 3, 1, 2, 0.6, 0.800498614762789
19, 1, 2, 1, 2, 0.7, 0.32799969175688
20, 1, 3, 1, 2, 0.8, 0.735412913302
21, 1, 2, 1, 2, 0.9, 0.297173835987872
22, 1, 3, 1, 2, 1, 0.667497622303033